Date/Time (EDT),(hr),Supply1,Supply2,Return1,Return2,(W),(W).1,(gpm),(Btu/hr-ft)
2019-09-10 17:45:00,0.06944444443797693,69.42757,69.41255,58.97733,58.88565,17862.338210904,8194.569854572,19.6516,66.36733375184298
2019-09-10 17:50:00,0.15277777769370005,70.54902,70.56402,59.99318,59.90161,17990.413979699,12865.480939591998,19.48046,78.59042489517923
2019-09-10 17:55:00,0.23611111112404615,71.41438,71.41438,60.84826,60.75678,17981.848578304,12863.735024898,19.48505,78.56416181920031
2019-09-10 18:00:00,0.31944444437976927,72.01358,72.02856,61.45087,61.32896,17967.51725034,12855.880314908,19.49422,78.50765364939657
2019-09-10 18:05:00,0.40277777781011537,72.42641,72.42641,61.89468,61.77284,17956.352734593,12851.813203488,19.52633,78.46885846766452
2019-09-10 18:10:00,0.4861111110658385,72.77924,72.79419,62.35779,62.25124,17952.232624913,12847.047929806,19.4975,78.44622726362384
2019-09-10 18:15:00,0.5694444444961846,73.43095,73.43095,62.98989,62.8682,17945.90092328,12847.095733703001,19.47784,78.43022208230074
2019-09-10 18:20:00,0.6527777777519077,73.79839,73.79839,63.4677,63.37649,17939.83515742,12841.19532946,19.53353,78.39974406844884
2019-09-10 18:25:00,0.7361111111822538,74.37476,74.37476,63.86308,63.77191,17928.188021068003,12834.29281716,19.50143,78.35249783647177
2019-09-10 18:30:00,0.8194444444379769,74.82057,74.82057,64.29047,64.18414,17931.406235886,12839.733656952001,19.54664,78.37455257780304
2019-09-10 18:35:00,0.9027777776937,75.16405,75.17896,64.67619,64.56992,17926.762829696,12835.497901185001,19.54402,78.35193721977377
2019-09-10 18:40:00,0.9861111111240461,75.53079,75.54571,65.04235,64.93613,17922.3441375,12834.91387748,19.52305,78.33919522770651
2019-09-10 18:45:00,1.0694444443797693,75.8121,75.827,65.36699,65.27597,17918.388839567,12832.752162165,19.54205,78.32361510366516
2019-09-10 18:50:00,1.1527777778101154,76.14877,76.17858,65.62478,65.51862,17913.334709865,12831.527941784,19.52633,78.30762405229704
2019-09-10 18:55:00,1.2361111110658385,76.25755,76.28735,65.96646,65.8755,17915.976667348,12831.659658969002,19.53288,78.31468864307458
2019-09-10 19:00:00,1.3194444444961846,76.65363,76.66853,66.16353,66.08774,17909.7221184,12829.749880182,19.53157,78.29389397847788
2019-09-10 19:05:00,1.4027777777519077,76.94949,76.97926,66.4273,66.33639,17913.104150222,12830.719907145001,19.51912,78.30497873715937
2019-09-10 19:10:00,1.4861111111822538,77.11128,77.12616,66.70815,66.61726,17910.390707514,12830.699337033,19.5296,78.29801516570069
2019-09-10 19:15:00,1.569444444437977,77.30934,77.33911,66.91122,66.82037,17907.585926682,12830.971622927998,19.53091,78.29156486329771
2019-09-10 19:20:00,1.6527777776937,77.57533,77.57533,67.16586,67.05989,17907.854836014,12830.497752104999,19.5486,78.291042823321
2019-09-10 19:25:00,1.7361111111240461,77.8924,77.8924,67.31926,67.22844,17904.036826715997,12832.931189474999,19.55122,78.28751629795512
2019-09-10 19:30:00,1.8194444443797693,77.89058,77.9352,67.52838,67.46785,17911.91390983,12826.14000228,19.54729,78.29028209106822
2019-09-10 19:35:00,1.9027777778101154,78.13739,78.16713,67.73742,67.66177,17910.456407493,12830.26697095,19.54598,78.29708126166116
2019-09-10 19:40:00,1.9861111110658385,78.45851,78.48824,67.87971,67.78896,17910.64148972,12829.979690462002,19.55188,78.29682096116505
2019-09-10 19:45:00,2.0694444444961846,78.57811,78.60783,68.06934,67.9786,17905.818152222,12830.621086890002,19.5296,78.28616949484272
